Date,Price,Open,High,Low,Change %
Nov 13, 2019,1.2840,1.2852,1.2859,1.2822,-0.08%
Nov 12, 2019,1.2851,1.2853,1.2874,1.2816,-0.03%
Nov 11, 2019,1.2854,1.2779,1.2900,1.2779,0.64%
Nov 08, 2019,1.2772,1.2813,1.2826,1.2769,-0.33%
Nov 07, 2019,1.2814,1.2853,1.2878,1.2793,-0.30%
Nov 06, 2019,1.2852,1.2885,1.2899,1.2844,-0.26%
Nov 05, 2019,1.2885,1.2885,1.2919,1.2860,0.01%
Nov 04, 2019,1.2884,1.2944,1.2948,1.2876,-0.39%
Nov 01, 2019,1.2935,1.2939,1.2974,1.2926,-0.05%
Oct 31, 2019,1.2942,1.2904,1.2977,1.2894,0.30%
Oct 30, 2019,1.2903,1.2869,1.2909,1.2845,0.28%
Oct 29, 2019,1.2867,1.2864,1.2906,1.2806,0.02%
Oct 28, 2019,1.2865,1.2827,1.2878,1.2812,0.33%
Oct 25, 2019,1.2823,1.2850,1.2864,1.2804,-0.23%
Oct 24, 2019,1.2852,1.2912,1.2951,1.2788,-0.51%
Oct 23, 2019,1.2918,1.2872,1.2923,1.2841,0.35%
Oct 22, 2019,1.2873,1.2958,1.3000,1.2861,-0.67%
Oct 21, 2019,1.2960,1.2926,1.3014,1.2875,-0.10%
Oct 18, 2019,1.2973,1.2890,1.2985,1.2837,0.64%
Oct 17, 2019,1.2890,1.2832,1.2990,1.2750,0.45%
Oct 16, 2019,1.2832,1.2787,1.2877,1.2656,0.34%
Oct 15, 2019,1.2788,1.2609,1.2800,1.2602,1.43%
Oct 14, 2019,1.2608,1.2625,1.2655,1.2515,-0.32%
Oct 11, 2019,1.2649,1.2441,1.2707,1.2407,1.66%
Oct 10, 2019,1.2443,1.2207,1.2470,1.2205,1.94%
Oct 09, 2019,1.2206,1.2218,1.2292,1.2198,-0.11%
Oct 08, 2019,1.2219,1.2290,1.2304,1.2195,-0.59%
Oct 07, 2019,1.2292,1.2327,1.2338,1.2287,-0.33%
Oct 04, 2019,1.2333,1.2332,1.2357,1.2275,0.03%
Oct 03, 2019,1.2329,1.2306,1.2414,1.2266,0.22%
Oct 02, 2019,1.2302,1.2307,1.2325,1.2227,-0.01%
Oct 01, 2019,1.2303,1.2287,1.2342,1.2207,0.11%
Sep 30, 2019,1.2289,1.2290,1.2349,1.2275,0.00%
Sep 27, 2019,1.2289,1.2321,1.2337,1.2270,-0.28%
Sep 26, 2019,1.2323,1.2355,1.2381,1.2302,-0.23%
Sep 25, 2019,1.2351,1.2484,1.2500,1.2348,-1.11%
Sep 24, 2019,1.2490,1.2429,1.2504,1.2414,0.47%
Sep 23, 2019,1.2431,1.2469,1.2492,1.2413,-0.38%
Sep 20, 2019,1.2479,1.2524,1.2583,1.2459,-0.38%
Sep 19, 2019,1.2526,1.2472,1.2561,1.2438,0.43%
Sep 18, 2019,1.2472,1.2504,1.2516,1.2441,-0.24%
Sep 17, 2019,1.2502,1.2437,1.2528,1.2391,0.58%
Sep 16, 2019,1.2430,1.2502,1.2511,1.2399,-0.58%
Sep 13, 2019,1.2502,1.2335,1.2508,1.2327,1.36%
Sep 12, 2019,1.2334,1.2325,1.2368,1.2283,0.05%
Sep 11, 2019,1.2328,1.2348,1.2372,1.2312,-0.16%
Sep 10, 2019,1.2348,1.2347,1.2377,1.2307,0.01%
Sep 09, 2019,1.2347,1.2268,1.2384,1.2233,0.53%
Sep 06, 2019,1.2282,1.2330,1.2344,1.2278,-0.40%
Sep 05, 2019,1.2331,1.2252,1.2355,1.2210,0.64%
Sep 04, 2019,1.2252,1.2079,1.2260,1.2076,1.37%
Sep 03, 2019,1.2086,1.2067,1.2107,1.1959,0.15%
Sep 02, 2019,1.2068,1.2150,1.2176,1.2035,-0.74%
Aug 30, 2019,1.2158,1.2181,1.2226,1.2139,-0.26%
Aug 29, 2019,1.2190,1.2211,1.2234,1.2172,-0.17%
Aug 28, 2019,1.2211,1.2290,1.2293,1.2157,-0.63%
Aug 27, 2019,1.2289,1.2219,1.2309,1.2209,0.59%
Aug 26, 2019,1.2217,1.2265,1.2288,1.2208,-0.50%
Aug 23, 2019,1.2279,1.2250,1.2294,1.2193,0.22%
Aug 22, 2019,1.2252,1.2129,1.2273,1.2108,1.02%
Aug 21, 2019,1.2128,1.2170,1.2177,1.2111,-0.35%
Aug 20, 2019,1.2170,1.2127,1.2183,1.2065,0.35%
Aug 19, 2019,1.2127,1.2149,1.2174,1.2104,-0.19%
Aug 16, 2019,1.2150,1.2086,1.2176,1.2074,0.53%
Aug 15, 2019,1.2086,1.2062,1.2151,1.2049,0.21%
Aug 14, 2019,1.2061,1.2058,1.2102,1.2045,0.01%
Aug 13, 2019,1.2060,1.2074,1.2099,1.2041,-0.12%
Aug 12, 2019,1.2075,1.2049,1.2107,1.2015,0.32%
Aug 09, 2019,1.2037,1.2127,1.2155,1.2025,-0.78%
Aug 08, 2019,1.2132,1.2142,1.2184,1.2094,-0.08%
Aug 07, 2019,1.2142,1.2170,1.2192,1.2121,-0.21%
Aug 06, 2019,1.2168,1.2144,1.2211,1.2133,0.21%
Aug 05, 2019,1.2143,1.2144,1.2190,1.2102,-0.10%
Aug 02, 2019,1.2155,1.2134,1.2170,1.2090,0.18%
Aug 01, 2019,1.2133,1.2154,1.2172,1.2079,-0.21%
